numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Terrenos,4200,,,,"R$ 6,300,000","R$ 1,500.00",Cidade Nova,Avenida Noel Nutels,Vende-se excelente terreno comercial no Bairro Cidade Nova em Av. Principal.   Medindo 4.200m² tendo a possibilidade de aumentar a área de terreno.  Totalmente pronto para construir seu empreendimento com localização estratégica para toda Manaus.   Valor: R$ 6.500.000;00  Agende sua visita!  Contato,0
2,Casas,184,3,,2,"R$ 370,000","R$ 2,010.87",Cidade Nova,,Casa 3 quartos à venda no bairro Cidade Nova em Manaus. Casa com 184m²; 1 suíte; 2 banheiros e 2 vagas por R$370.000;00. ID 353587448. Confira agora a casa!,1
3,Casas,,3,,3,"R$ 300,000",?,Cidade Nova,,Casa 3 quartos à venda no bairro Cidade Nova em Manaus. Casa com 1 suíte; 1 banheiro e 3 vagas por R$300.000;00. ID 353663097. Confira agora a casa!,1
4,Casas,,,,4,"R$ 550,000",?,Cidade Nova,,Casa à venda no bairro Cidade Nova em Manaus. Casa com 4 vagas por R$550.000;00. ID 353636006. Confira agora a casa!,0
5,Casas,150,4,,3,"R$ 580,000","R$ 3,866.67",Cidade Nova,,Casa 4 quartos à venda no bairro Cidade Nova em Manaus. Casa com 150m²; 1 suíte; 2 banheiros e 3 vagas por R$580.000;00. ID 353370868. Confira agora a casa!,1
6,Casas,214,5,,3,"R$ 300,000","R$ 1,401.87",Cidade Nova,,Casa 5 quartos à venda no bairro Cidade Nova em Manaus. Casa com 214m²; 1 suíte; 3 banheiros e 3 vagas por R$300.000;00. ID 353437995. Confira agora a casa!,0
7,Terrenos,3640,,,,"R$ 5,000,000","R$ 1,373.63",Cidade Nova,Avenida Noel Nutels,Vende-se excelente terreno com 3.640 m²; localizado no bairro da Cidade Nova em via pública de intenso movimento; terreno todo murado e plano.  100% documentado.  Valor: R$ 5.000.000;00 (aceita Financiamento Bancário)   Agende sua visita!  Contato Diego Medeiros Creci 6519 Ligação e WhatsApp,0
8,Casas,,3,,2,"R$ 800,000",?,Cidade Nova,,Casa 3 quartos à venda no bairro Cidade Nova em Manaus. Casa com 2 suítes; 1 banheiro e 2 vagas por R$800.000;00. ID 353553049. Confira agora a casa!,0
9,Casas,,2,,2,"R$ 160,000",?,Cidade Nova,,Casa 2 quartos à venda no bairro Cidade Nova em Manaus. Casa com 1 suíte; 1 banheiro e 2 vagas por R$160.000;00. ID 353431646. Confira agora a casa!,0
10,Terrenos,1,,,,"R$ 850,000","R$ 850,000.00",Cidade Nova,Rua Andrade Muruci,Manaus imóveis - Rua Andrade Murici; 109 - Conj. Villa Real - Cidade Nova *DESCRIÇÃO: - Terreno murado pronto para investimento ou moradia. - Próximo da Eucatur; Hapivida da Cidade Nova e Rua de comercio do canaranas. - Área total : 1.684m² *PONTO DE REFERÊNCIA: - Hospital do Coração Francisca Mende,0
11,Casas,,2,,1,"R$ 350,000",?,Cidade Nova,,Casa 2 quartos à venda no bairro Cidade Nova em Manaus. Casa com 2 banheiros e 1 vaga por R$350.000;00. ID 353552511. Confira agora a casa!,0
12,Casas,,3,,,"R$ 420,000",?,Cidade Nova,,Casa 3 quartos à venda no bairro Cidade Nova em Manaus. Casa com 1 suíte e 2 banheiros por R$420.000;00. ID 353464874. Confira agora a casa!,1
13,Casas,,3,,2,"R$ 290,000",?,Cidade Nova,,Casa 3 quartos à venda no bairro Cidade Nova em Manaus. Casa com 1 suíte; 1 banheiro e 2 vagas por R$290.000;00. ID 353662714. Confira agora a casa!,1
14,Casas,153,3,,1,"R$ 290,000","R$ 1,895.42",Cidade Nova,,Casa 3 quartos à venda no bairro Cidade Nova em Manaus. Casa com 153m²; 1 suíte; 3 banheiros e 1 vaga por R$290.000;00. ID 353541620. Confira agora a casa!,1
15,Casas,270,4,,3,"R$ 445,000","R$ 1,648.15",Cidade Nova,,Casa 4 quartos à venda no bairro Cidade Nova em Manaus. Casa com 270m²; 4 suítes; 5 banheiros e 3 vagas por R$445.000;00. ID 353371366. Confira agora a casa!,1
16,Casas,,3,,3,"R$ 630,000",?,Cidade Nova,,Casa 3 quartos à venda no bairro Cidade Nova em Manaus. Casa com 3 suítes e 3 vagas por R$630.000;00. ID 353578648. Confira agora a casa!,0
