numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Apartamentos,36,1,,1,"R$ 450,000","R$ 12,500.00",Promorar,,Apartamento 1 quarto à venda no bairro Setor Bueno em Goiânia. Apartamento com 36m²; 1 suíte; 1 banheiro e 1 vaga por R$450.000;00. ID 342271161. Confira agora o apartamento!,0
2,Casas,713,4,,3,"R$ 7,500,000","R$ 10,518.93",Promorar,,Casa 4 quartos à venda no bairro Parque Cidade em Goiânia. Casa com 713m²; 4 suítes; 7 banheiros e 3 vagas por R$7.500.000;00. ID 353667279. Confira agora a casa!,0
3,Casas,347,4,,2,"R$ 580,000","R$ 1,671.47",Promorar,,Casa 4 quartos à venda no bairro Residencial Monte Carlo em Goiânia. Casa com 347m²; 2 suítes; 9 banheiros e 2 vagas por R$580.000;00. ID 353662799. Confira agora a casa!,0
4,Casas,349,4,,4,"R$ 1,200,000","R$ 3,438.40",Promorar,,Casa 4 quartos à venda no bairro Jardins Bolonha em Senador Canedo. Casa com 349m²; 4 suítes; 6 banheiros e 4 vagas por R$1.200.000;00. ID 353667570. Confira agora a casa!,0
5,Apartamentos,248,4,,5,"R$ 3,317,000","R$ 13,375.00",Promorar,,Apartamento 4 quartos à venda no bairro Serra em Belo Horizonte. Apartamento com 248m²; 4 suítes; 4 banheiros e 5 vagas por R$3.317.000;00. ID 10289900722. Confira agora o apartamento!,0
6,Casas,2480,5,,,"R$ 4,200,000","R$ 1,693.55",Promorar,,Casa 5 quartos à venda no bairro Dionisio Torres em Fortaleza. Casa com 2480m² e 5 banheiros por R$4.200.000;00. ID 352140124. Confira agora a casa!,0
7,Apartamentos,77,2,,2,"R$ 1,395,000","R$ 18,116.88",Promorar,,Apartamento 2 quartos à venda no bairro Noroeste em Brasília/Plano Piloto. Apartamento com 77m²; 1 suíte; 3 banheiros e 2 vagas por R$1.395.000;00. ID 353454676. Confira agora o apartamento!,0
8,Casas,360,3,,4,"R$ 1,200,000","R$ 3,333.33",Promorar,,Casa 3 quartos à venda no bairro Jardim Buriti Sereno em Aparecida de Goiânia. Casa com 360m²; 1 suíte; 1 banheiro e 4 vagas por R$1.200.000;00. ID 353665135. Confira agora a casa!,0
9,Apartamentos,73,3,,1,"R$ 615,000","R$ 8,424.66",Promorar,,Apartamento 3 quartos à venda no bairro Águas Claras em Águas Claras. Apartamento com 73m²; 1 suíte; 2 banheiros e 1 vaga por R$615.000;00. ID 353652950. Confira agora o apartamento!,0
10,Casas,450,3,,2,"R$ 950,000","R$ 2,111.11",Promorar,,Casa 3 quartos à venda no bairro Setor Aeroporto em Goiânia. Casa com 450m²; 1 suíte; 2 banheiros e 2 vagas por R$950.000;00. ID 353662826. Confira agora a casa!,0
11,Casas,525,3,,10,"R$ 1,490,000","R$ 2,838.10",Promorar,,Casa 3 quartos à venda no bairro Setor Sul em Goiânia. Casa com 525m²; 1 suíte; 2 banheiros e 10 vagas por R$1.490.000;00. ID 353669851. Confira agora a casa!,0
12,Casas,360,3,,4,"R$ 1,550,000","R$ 4,305.56",Promorar,,Casa 3 quartos à venda no bairro Jardins Bolonha em Senador Canedo. Casa com 360m²; 3 suítes; 4 banheiros e 4 vagas por R$1.550.000;00. ID 353666790. Confira agora a casa!,0
13,Casas,376,4,,2,"R$ 2,750,000","R$ 7,313.83",Promorar,,Casa 4 quartos à venda no bairro Jardins Madri em Goiânia. Casa com 376m²; 4 suítes; 5 banheiros e 2 vagas por R$2.750.000;00. ID 353666649. Confira agora a casa!,0
14,Apartamentos,,3,,,"R$ 124,900",?,Promorar,,Apartamento 3 quartos à venda no bairro Niterói em Betim. Apartamento com 1 suíte por R$124.900;00. ID 10190806380. Confira agora o apartamento!,0
15,Casas,180,3,,,"R$ 385,000","R$ 2,138.89",Promorar,,Casa 3 quartos à venda no bairro Setor Leste em Gama. Casa com 180m² e 3 banheiros por R$385.000;00. ID 353646696. Confira agora a casa!,1
16,Apartamentos,49,2,,,"R$ 261,125","R$ 5,329.08",Promorar,,Apartamento 2 quartos à venda no bairro Centro em Belo Horizonte. Apartamento com 49m² e 1 banheiro por R$261.125;00. ID 10235450369. Confira agora o apartamento!,0
17,Apartamentos,99,3,,2,"R$ 680,000","R$ 6,868.69",Promorar,,Apartamento 3 quartos à venda no bairro Pedro Ludovico em Goiânia. Apartamento com 99m²; 1 suíte; 3 banheiros e 2 vagas por R$680.000;00. ID 353471443. Confira agora o apartamento!,0
18,Casas,387,4,,2,"R$ 1,400,000","R$ 3,617.57",Promorar,,Casa 4 quartos à venda no bairro Santa Teresa em Belo Horizonte. Casa com 387m²; 2 suítes; 4 banheiros e 2 vagas por R$1.400.000;00. ID 353543007. Confira agora a casa!,0
19,Apartamentos,134,3,,2,"R$ 1,700,000","R$ 12,686.57",Promorar,,Apartamento 3 quartos à venda no bairro Setor Bueno em Goiânia. Apartamento com 134m²; 3 suítes; 4 banheiros e 2 vagas por R$1.700.000;00. ID 353670273. Confira agora o apartamento!,0
20,Apartamentos,29,1,,,"R$ 370,000","R$ 12,758.62",Promorar,,Apartamento 1 quarto à venda no bairro Moema em São Paulo. Apartamento com 29m² e 1 banheiro por R$370.000;00. ID 353698228. Confira agora o apartamento!,0
21,,29,,,,"R$ 690,000","R$ 23,793.10",Promorar,,Loja à venda no bairro Sudoeste em Brasília/Plano Piloto. Loja com 29m² e 1 banheiro por R$690.000;00. ID 353635551. Confira agora a loja!,0
22,Apartamentos,62,2,,1,"R$ 500,000","R$ 8,064.52",Promorar,,Apartamento 2 quartos à venda no bairro Coimbra em Goiânia. Apartamento com 62m²; 1 suíte; 2 banheiros e 1 vaga por R$500.000;00. ID 353669605. Confira agora o apartamento!,0
