numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Casas,200,3,2,2,"R$ 600,000","R$ 3,000.00",Loteamento Recife,Avenida Edvaldo Antônio Arcanjo Cirilo,Casa à Venda – Loteamento Recife  📐 Terreno: 10x20   •3/4 Sendo 1 suite com closet  •Sala ampla   •Cozinha planejada   •Banheiro social   •Área serviço   •Garagem para 2 carros   •Corredor lateral   •Piscina   • Cerca elétrica   •Portão elétrico   💰 R$ 600.000;00,1
2,Casas,490,7,,10,"R$ 980,000","R$ 2,000.00",Loteamento Recife,,Casa 7 quartos à venda no bairro Candeias em Jaboatão dos Guararapes. Casa com 490m²; 4 suítes; 8 banheiros e 10 vagas por R$980.000;00. ID 353703360. Confira agora a casa!,0
3,Terrenos,200,,,,"R$ 170,000",R$ 850.00,Loteamento Recife,Rua Maria Necy de Oliveira,Venda | Lote (terreno) Loteamento Recife | Cod 2340 .......................................................................... Terreno: 10X20 | 200m² Rua Asfaltada  R$ 170.000;00 .......................................................................... Contate agora: Whatsapp  Metro Quadrado Centro,0
4,Casas,200,3,2,3,"R$ 560,000","R$ 2,800.00",Loteamento Recife,Avenida Edvaldo Antônio Arcanjo Cirilo,Casa à Venda – Loteamento Recife  📐 Terreno: 10x20  ✨ Descrição do imóvel:  • 3 quartos (sendo 1 suíte com closet)  • Sala de estar   • Sala de jantar   • Cozinha planejada  • Banheiro social  • Área gourmet  • Área de serviço  • Garagem para até 3 carros  💰 Investimento: R$ 560.000;00,1
5,Apartamentos,51,2,,1,"R$ 214,000","R$ 4,196.08",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Nossa Senhora da Conceição em Paulista. Apartamento com 51m²; 1 banheiro e 1 vaga por R$214.000;00. ID 353698383. Confira agora o apartamento!,0
6,Apartamentos,66,3,,1,"R$ 230,000","R$ 3,484.85",Loteamento Recife,,Apartamento 3 quartos à venda no bairro Maria Farinha em Paulista. Apartamento com 66m²; 1 banheiro e 1 vaga por R$230.000;00. ID 353698437. Confira agora o apartamento!,0
7,Casas,100,3,2,1,"R$ 245,000","R$ 2,450.00",Loteamento Recife,Rua Santo Ângelo,Casa à venda no Bairro José de Castro; Petrolina -PE:   100m² sendo 5x20;  3 quartos sendo um suíte;  Sala;  Cozinha américana;  Área de serviço;  Área de sol.  Agende já a sua visita!   Código do Anúncio: 5566_1130450  Este imóvel tem as seguintes características:   Básico: Água; Energia; Esgoto  E,1
8,Casas,143,3,3,,"R$ 610,000","R$ 4,265.73",Loteamento Recife,Rua Santo Isidoro,Venda | Bairro; Padre José de Castro | Cod 2606 ....................................................................... Terreno: 10x20 | 200m   Área construída: 143m  - 03 suítes; 1 com closet  - Piscina; 4x2x1.40 profundidade; LEDs; cascata e hidro  - Espaço gourmet - Área de serviço  - Sala estar ,1
9,Terrenos,500,,,,"R$ 390,000",R$ 780.00,Loteamento Recife,,Terreno Loteamento Monte Carmelo; Petrolina Lote: Quadra G lote 10 Área Total: 500m2,0
10,Apartamentos,40,1,,1,"R$ 310,000","R$ 7,750.00",Loteamento Recife,,Apartamento 1 quarto à venda no bairro Torre em Recife. Apartamento com 40m²; 1 banheiro e 1 vaga por R$310.000;00. ID 353388077. Confira agora o apartamento!,0
11,Casas,100,3,2,1,"R$ 360,000","R$ 3,600.00",Loteamento Recife,Rua Dez,Casa no Loteamento Recife  * Área do lote: 5x20 100m2 * Área construída: 75m2 - 1 Suíte com Closet  - ⁠3/4 - ⁠Banheiro social - Cozinha integrada com a sala  - ⁠Esquadrias kit portas - ⁠Área de serviço  - ⁠Área de Sol  • Toda em led    Acabamento premium   R$ 360.000;00,1
12,Apartamentos,92,2,,1,"R$ 275,000","R$ 2,989.13",Loteamento Recife,,Apartamento 2 quartos à venda no bairro Boa Vista em Recife. Apartamento com 92m²; 2 banheiros e 1 vaga por R$275.000;00. ID 353374359. Confira agora o apartamento!,0
13,Casas,176,3,,3,"R$ 760,000","R$ 4,318.18",Loteamento Recife,,Casa 3 quartos à venda no bairro Casa Amarela em Recife. Casa com 176m²; 2 suítes; 3 banheiros e 3 vagas por R$760.000;00. ID 353700489. Confira agora a casa!,0
14,Casas,100,3,1,1,"R$ 310,000","R$ 3,100.00",Loteamento Recife,Avenida Francisco Canindé de Oliveira,Casa Disponível Para Venda no Loteamento Recife   Terreno 5x20   * 3/4 sendo uma suíte com closet  * ⁠área de estar e jantar integradas  * ⁠cozinha  * ⁠banheiro social  * ⁠área de serviço  * ⁠garagem   R$ 310.000,1
