numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Apartamentos,88,2,3,2,"R$ 1,600,000","R$ 18,181.82",Nazare,Travessa Almirante Wandenkolk,Edifício Mandarim; apartamento de Alto Padrão com Vista para a Baía do Guajará – Totalmente Mobiliado  Localizado no 10º andar; com vista privilegiada para a Baía do Guajará. O imóvel encontra-se totalmente mobiliado e decorado; oferecendo conforto; sofisticação e excelente aproveitamento dos espaço,0
2,Apartamentos,120,2,3,2,"R$ 850,000","R$ 7,083.33",Nazare,Avenida Nazaré,Excelente opção de apartamento para venda com 2 quartos em Nazaré; no EDIFÍCIO FELIZ.  Valor do investimento: R$ 850.000;00 (Aceita financiamento)  Localizado na Av. Nazaré; em frente ao CAM – localização nobre e estratégica; próximo à Basílica de Nazaré; escolas; supermercados e com fácil acesso às,1
3,Apartamentos,194,3,5,1,"R$ 710,000","R$ 3,659.79",Nazare,Avenida Serzedelo Corrêa,EDIFÍCIO SOLARIS – 194 m² | 3 SUÍTES | 8º ANDAR  📍 Av. Serzedelo Corrêa – Batista Campos; Belém/PA Entre as ruas Gentil Bittencourt e Brás de Aguiar.  Apartamento amplo com 194 m² de área privativa; localizado no 8º andar; em uma das regiões mais valorizadas de Belém.  Características do imóvel:  19,0
4,Apartamentos,98,3,2,2,"R$ 800,000","R$ 8,163.27",Nazare,Avenida Governador José Malcher,VENDA Torre de Bolonha Avenida Governador José Malcher; nº 2264; no bairro de Nazaré; em Belém - PA; 66035-100; Apartamento  98 M2 3/4 sendo 1 suíte com closet Banheiro social Sala pra 2 ambientes  Sacada Cozinha Dependência de empregada completa Câmeras de segurança Área de serviço  Possui Armários,1
5,Apartamentos,450,3,5,3,"R$ 1,600,000","R$ 3,555.56",Nazare,Avenida Nazaré,ED. VOLPI - AV. NAZARE ;CANTO COM A TRAV; RUI BARBOSA - NAZARE VALOR =1.600;000;00 ACEITA PROPOSTA PARA ANALISE 91- 9 8 1 7 0 8 2 3 6 NAO FACO PARCERIAS LINDO APARTAMENTO NO 7ANDAR; NASCENTE E MUITO VENTILADO COM 450 m2; 1 POR ANDAR; 3 SUITES; CONTENDO 3 VAGAS DE GARAGEM; SALÃO PARA 3 AMBIENTES; LAV,0
6,Apartamentos,200,3,5,1,"R$ 830,000","R$ 4,150.00",Nazare,Avenida Nazaré,O imóvel está localizado na Av Nazaré possui 200 metros quadrados com 3 suites e 5 banheiros; duas salas amplas e arejadas; copa / Cozinha; Gabinete ; área de serviço completa. 4 banheiros e um lavabo. Localização excelente; próximo a escolas; supermercados; igrejas; praças; transporte público Laura,1
7,Apartamentos,186,3,4,3,"R$ 3,300,000","R$ 17,741.94",Nazare,Rua João Balbi,Edifício Lisse no Umarizal. COD 2323  A elegância da arquitetura contemporânea em cada detalhe:  Andar Alto.  3 suítes ; 2 por andar; Poente.  186 m²  Suíteprincipal voltada para o nascente.  3 vagas de garagem  quadra poliesportiva e squash  amplo espaço fitness  área de lazer.  BLASCO IMOVEIS - CR,0
8,Apartamentos,146,4,4,1,"R$ 850,000","R$ 5,821.92",Nazare,Rua João Balbi,Vendo apartamento com 4/4 sendo 2 suites.  1 vaga de garagem; andar 9; nascente toral.  possui dep. completa.   o condomínio oferece; porraria 24h; salao de destas; quadra de esportes; piscina; churrasqueira.   Tamanho de 146m; presio com 2 aptos por andar.   R$ 850.000;00 aceita financiamento.,1
9,Apartamentos,130,3,4,,"R$ 470,000","R$ 3,615.38",Nazare,Travessa Benjamim Constant,AMPLO APTO LOCALIZADO NA TRAV BENJAMIN CONSTANT NO BAIRRO DE NAZARE COM 130M 3 SUITES DEPENDENCIA DE EMPREGADA; SALA COZINHA E AREA DE SERVIÇO PISO EM PORCELANATO TETO EM GESSO   VALOR 470 MIL ACEITO FINANCIAMENTO  📞 Entre em contato para mais informações ou agendar visita /  Siga nossa página no In,1
10,Apartamentos,120,2,3,1,"R$ 598,000","R$ 4,983.33",Nazare,Avenida Serzedelo Corrêa,Apartamento à venda no Edifício José Custódio; com 120m² de área privativa; 1° andar; oferecendo ambientes amplos; funcionais e bem distribuídos; ideal para quem busca conforto e praticidade em excelente localização.  O imóvel dispõe de:  • Sala para 03 ambientes • 02 quartos; sendo 01 suíte (depend,1
